"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"8161",71.1,4,96,80,0.522,20.28,3.4,77,NA,"Intervalo 1",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"8162",45.6,3,78,81,0.408,19.54,3,38,"Intervalo 5","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1","Intervalo 4"
"8163",28.1,5,66,83,0.32,19.08,6.5,118,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8164",25.6,5,53,85,0.306,18.78,7.5,122,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8165",22.5,6,54,87,0.291,18.55,7.9,139,"Intervalo 3","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8166",14.1,10,52,88,0.249,18.56,9.3,137,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8167",15.1,10,41,88,0.254,18.59,7.8,117,"Intervalo 2","Intervalo 1","Intervalo 5",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8168",15.9,10,52,88,0.258,18.44,7.8,119,"Intervalo 2","Intervalo 1",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8170",13.8,12,51,88,0.248,18.5,8.2,139,"Intervalo 2","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8171",15.1,12,29,88,0.255,18.73,6.9,116,"Intervalo 2","Intervalo 2","Intervalo 3",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8172",16.3,13,36,87,0.263,19.37,7.4,112,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 2","Intervalo 1",NA
"8173",18.2,16,32,83,0.273,20.34,6.9,105,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
