"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"13549",23.1,73,112,41,0.796,32.23,16.4,124,"Intervalo 3",NA,NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13550",15.4,72,107,37,0.785,33.71,16,125,"Intervalo 2",NA,NA,"Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13551",10.2,38,84,30,0.718,35.04,17.8,127,"Intervalo 2","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13552",9.3,34,62,29,0.59,35.81,20.2,129,"Intervalo 1","Intervalo 4",NA,"Intervalo 3","Intervalo 1","Intervalo 4","Intervalo 3",NA
"13557",9.3,19,36,32,0,33.17,14.7,148,"Intervalo 1","Intervalo 2","Intervalo 4","Intervalo 4","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13558",7.2,16,53,43,0,31.29,15.4,136,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13559",7.3,15,69,46,0,30.43,17.7,131,"Intervalo 1","Intervalo 2",NA,"Intervalo 5","Intervalo 1","Intervalo 4","Intervalo 2",NA
"13560",6.6,14,64,51,0,29.44,16.1,132,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13561",6.5,12,60,55,0,28.43,13.5,139,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"13562",7.3,11,67,58,0,27.62,12.2,144,"Intervalo 1","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
