"","NOX","O3","PM10","RH","SR","TOUT","WSR","WDR","NOX_categorias","O3_categorias","PM10_categorias","RH_categorias","SR_categorias","TOUT_categorias","WSR_categorias","WDR_categorias"
"11429",21.8,21,65,72,0,21.24,11.1,158,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11430",29.6,18,51,78,0,20.6,10.5,146,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11431",44.7,12,53,81,0.011,20.14,8.7,146,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11432",45.2,15,56,75,0.109,21.27,9.4,145,"Intervalo 5","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11433",55.9,16,61,72,0.246,22.42,9.1,136,NA,"Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11434",39.7,21,67,68,0.441,23.51,8.9,119,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11435",41.4,22,54,64,0.553,24.83,9.8,133,"Intervalo 5","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11436",36.6,24,81,61,0.599,25.64,12.1,134,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11437",32.4,28,78,58,0.529,26.44,14.3,139,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11438",31,28,90,56,0.484,27.2,15.6,143,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11439",35.8,26,92,55,0.176,27.33,14.3,154,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11440",34.4,23,79,61,0.294,26.85,14.1,156,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11441",33.9,25,110,54,0.34,28.21,15.3,148,"Intervalo 4","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11442",29.7,23,86,53,0.212,27.86,13.5,141,"Intervalo 3","Intervalo 3",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11444",28.5,18,84,62,0.001,26.43,15,145,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11445",25.1,18,57,67,0,24.63,15.8,139,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11446",22.4,18,64,72,0,23.23,15.2,144,"Intervalo 3","Intervalo 2",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11447",20.4,19,49,74,0,22.37,11.7,151,"Intervalo 3","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 2",NA
"11448",22.6,17,50,75,0,21.96,7.1,87,"Intervalo 3","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11450",14.2,19,35,79,0,21.9,6.3,87,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11451",12.2,18,38,80,0,22.26,4.7,133,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11452",9.2,19,43,82,0,22.2,6.8,153,"Intervalo 1","Intervalo 2","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11453",8.3,23,41,79,0,22.12,6.5,103,"Intervalo 1","Intervalo 3","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11454",10.1,22,44,77,0,22.1,6.7,68,"Intervalo 2","Intervalo 3","Intervalo 5",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11455",14.4,18,38,78,0.007,22.43,3.7,56,"Intervalo 2","Intervalo 2","Intervalo 4",NA,"Intervalo 1","Intervalo 3","Intervalo 1",NA
"11460",6.8,32,50,50,0.465,28.99,6.9,19,"Intervalo 1","Intervalo 4","Intervalo 5","Intervalo 5","Intervalo 1","Intervalo 3","Intervalo 1","Intervalo 2"
"11462",7.9,37,102,58,0.57,24.81,29.8,2,"Intervalo 1","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 3","Intervalo 1"
"11463",8.6,32,131,61,0.544,21.73,31.8,5,"Intervalo 1","Intervalo 4",NA,NA,"Intervalo 1","Intervalo 3","Intervalo 4","Intervalo 1"
